MES,INF,DES,CETES91
Abr 2008,4.55,3.48,7.54
May 2008,4.95,3.29,7.59
Jun 2008,5.26,3.37,7.79
Jul 2008,5.39,4.13,8.21
Ago 2008,5.57,4.06,8.35
Sep 2008,5.47,4.14,8.32
Oct 2008,5.78,4.17,8.13
Nov 2008,6.23,4.32,7.96
Dic 2008,6.53,4.02,8.2
Ene 2009,6.28,5.01,7.66
Feb 2009,6.2,5.24,7.32
Mar 2009,6.04,4.66,7.22
Abr 2009,6.17,5.06,5.99
May 2009,5.98,5.23,5.24
Jun 2009,5.74,4.98,5.03
Jul 2009,5.44,5.82,4.69
Ago 2009,5.08,6.15,4.59
Sep 2009,4.89,6.42,4.6
Oct 2009,4.5,5.67,4.64
Nov 2009,3.86,5.11,4.61
Dic 2009,3.57,4.73,4.6
Ene 2010,4.46,5.76,4.62
Feb 2010,4.83,5.28,4.64
Mar 2010,4.97,4.74,4.64
Abr 2010,4.27,5.35,4.63
May 2010,3.92,5.00,4.64
Jun 2010,3.69,4.92,4.66
Jul 2010,3.64,5.59,4.64
Ago 2010,3.68,5.42,4.64
Sep 2010,3.7,5.66,4.61
Oct 2010,4.02,5.48,4.39
Nov 2010,4.32,5.17,4.25
Dic 2010,4.4,4.94,4.53
Ene 2011,3.78,5.34,4.44
Feb 2011,3.57,5.34,4.29
Mar 2011,3.04,4.64,4.32
Abr 2011,3.36,5.13,4.39
May 2011,3.25,5.18,4.45
Jun 2011,3.28,5.40,4.39
Jul 2011,3.55,5.48,4.27
Ago 2011,3.42,5.71,4.22
Sep 2011,3.14,5.43,4.28
Oct 2011,3.2,4.99,4.37
Nov 2011,3.48,4.96,4.37
Dic 2011,3.82,4.51,4.44
Ene 2012,4.05,4.88,4.46
Feb 2012,3.87,5.28,4.39
Mar 2012,3.73,4.52,4.43
Abr 2012,3.41,4.86,4.35
May 2012,3.85,4.67,4.39
Jun 2012,4.34,4.75,4.46
Jul 2012,4.42,4.99,4.41
Ago 2012,4.57,5.33,4.32
Sep 2012,4.77,4.91,4.27
Oct 2012,4.6,5.03,4.35
Nov 2012,4.18,5.05,4.46
Dic 2012,3.57,4.40,4.21
Ene 2013,3.25,5.41,4.3
Feb 2013,3.55,4.75,4.19
Mar 2013,4.25,4.48,4
Abr 2013,4.65,4.96,3.89
May 2013,4.63,4.91,3.73
Jun 2013,4.09,5.00,3.83
Jul 2013,3.47,5.13,3.89
Ago 2013,3.46,5.18,3.89
Sep 2013,3.39,5.31,3.68
Oct 2013,3.36,5.01,3.47
Nov 2013,3.62,4.48,3.48
Dic 2013,3.97,4.27,3.41
Ene 2014,4.48,5.07,3.41
Feb 2014,4.23,4.66,3.39
Mar 2014,3.76,4.80,3.29
Abr 2014,3.5,4.85,3.37
May 2014,3.51,4.94,3.42
Jun 2014,3.75,4.82,3.08
Jul 2014,4.07,5.47,2.9
Ago 2014,4.15,5.19,2.89
