Periodo,M1,M2,M3,M4,PIB Nominal
42005,2887393059,6497554674,7336186738,9814038682,5922129.829
42036,2869132683,6483423543,7357311049,9807460206,5922129.829
42064,2884130824,6418897094,7271476164,9666351336,5922129.829
42095,2922876605,6476126231,7395799967,9789984920,6156606.924
42125,2941241425,6536224878,7492813421,9892928856,6156606.924
42156,2967522802,6537726406,7488082796,9858297954,6156606.924
42186,3023155178,6548994514,7533212348,9929652200,6219557.754
42217,3052866101,6551246163,7543636464,9958348276,6219557.754
42248,3056561053,6558231868,7470464397,9883588125,6219557.754
42278,3103509535,6614957229,7597419847,9967876775,6436984.513
42309,3129911043,6515031607,7539257446,9857137420,6436984.513
42339,3348743500,6761044535,7769928305,10119051450,6436984.513
42370,3296228415,6804560202,7877380405,10237162102,6325995.787
42401,3272357666,6771465678,7848307435,10194510396,6325995.787
42430,3301177621,6816853593,7824719315,10160873247,6325995.787
42461,3318515721,6879613016,7849323982,10188615938,6656693.346
42491,3381895447,6987906902,7942800881,10183335454,6656693.346
42522,3440349801,7119001193,8073066967,10257839803,6656693.346
42552,3456182318,7168971857,8131866094,10314304744,6718214.056
42583,3469969234,7116798713,8084354435,10279248450,6718214.056
42614,3488334775,7231920684,8254531377,10567747940,6718214.056
42644,3513857741,7269977360,8225793511,10515082025,7123231.371
42675,3650474085,7381047628,8380701288,10613188582,7123231.371
42705,3868310952,7662999027,8581481845,10811214960,7123231.371
42736,3811392752,7603905361,8566037535,10832688936,7099258.537
42767,3798023998,7587829341,8541722040,10861360016,7099258.537
42795,3783838369,7540815124,8581697755,10931462896,7099258.537
42826,3812359643,7555699223,8598752388,10949605002,7271504.443
42856,3739860928,7559946604,8548068502,10868736170,7271504.443
42887,3805689580,7676700269,8732556783,11068595775,7271504.443
42917,3822383203,7740065390,8882335581,11183729491,7234881.012
42948,3777435858,7698045372,8795875283,11092873184,7234881.012
42979,3859419791,7846367662,8975586670,11327869556,7234881.012
43009,3920568309,7935068634,8993363453,11309783955,7610214.404
43040,3994732947,8061705114,9162047114,11476959697,7610214.404
43070,4264017582,8394065090,9494959091,11712255875,7610214.404
43101,4075871704,8236764222,9204188799,11438454191,7571068.615
43132,4075774261,8262795220,9274968547,11469513247,7571068.615
43160,4138523788,8306747097,9511455277,11775566217,7571068.615
43191,4142745967,8399109746,9524170807,11805418988,7881947.868
43221,4154520320,8467697884,9620499044,11902190438,7881947.868
43252,4286011488,8567406925,9731594096,11989482394,7881947.868
43282,4173476692,8434727584,9654408147,11934042720,7769317.368
43313,4197524436,8506482676,9731622039,11977004592,7769317.368
43344,4159127404,8508985694,9776009859,12052456172,7769317.368
43374,4204528593,8549110646,9823120423,11985668398,8099675.505
43405,4350488324,8701307648,9979321961,12158717849,8099675.505
43435,4492216320,8815667166,10095006309,12262977268,8099675.505
43466,4323954421,8702653500,10063951810,12351464248,7990498.461
43497,4306875853,8744413483,10033608388,12334092233,7990498.461
43525,4315849487,8826482786,10128770330,12475416806,7990498.461
43556,4290374415,8776012098,10101381473,12410272986,8107960.259
43586,4338162026,8902391032,10270966162,12628224742,8107960.259
43617,4351788055,8934026063,10323399631,12630959820,8107960.259
43647,4311122442,8923500139,10304261626,12597073849,7987529.746
43678,4390415278,9087065056,10557492347,12910071904,7987529.746
43709,4331168999,9046367223,10543226792,12891002791,7987529.746
43739,4337305956,8987117998,10538725032,12907410127,8232854.206
43770,4511911114,9124889991,10694387974,13007774199,8232854.206
43800,4702035012,9315954192,10768143122,13190038750,8232854.206
