Empresa,Nombre_Corto,Fecha,Anio,Trimestre,Activos,Inventarios,Pasivo_Circulante,PasivoLP,UOAD,PPE,CPP,Efectivo,GC,CBV,Ventas,IGR,Deuda,CPC,GO,GVGA,Precio_Acciones
"ALSEA, S.A.B. DE C.V.",ALSEA,1Q2012,2012,1,9457.251,429.629,2156.476,3887.675,104.1360016,3588.099,840.46,527.259,78.1760025,1064.232056,2970.794922,44.15399933,3760.844971,802.3789673,2866.658936,1802.42688,15.32079365
"ALSEA, S.A.B. DE C.V.",ALSEA,2Q2012,2012,2,9414.717,511.292,2235.424,3662.982,225.3390045,3667.486,1012.291,362.499,235.9909973,1225.676025,3417.812988,56.81800079,3381.903076,810.0800171,3192.473877,1966.797852,17.22887097
"ALSEA, S.A.B. DE C.V.",ALSEA,3Q2012,2012,3,9435.14,515.822,2419.063,3444.665,202.3540039,3706.794,930.318,323.263,183.5950012,1234.05603,3502.450928,47.2840004,3172.395996,731.0529785,3300.096924,2066.041016,18.63569231
"ALSEA, S.A.B. DE C.V.",ALSEA,4Q2012,2012,4,9771.167,550.394,2594.297,2374.399,265.480011,3832.018,1129.612,932.594,-311.7709961,1247.756958,3628.447021,96.84799957,2077.833008,808.1849976,3362.967041,2115.209961,22.20532258
"ALSEA, S.A.B. DE C.V.",ALSEA,1Q2013,2013,1,9673.15,430.708,2635.352,2232.396,169.3679962,3873.7,1024.924,849.218,92.73799896,1166.482056,3398.746094,33.22399902,1945.938965,764.7860107,3229.378174,2062.895996,30.12474576
"ALSEA, S.A.B. DE C.V.",ALSEA,2Q2013,2013,2,10147.487,472.088,2269.371,3703.49,274.8120117,4259.613,1006.899,641.951,169.7149963,1251.659058,3820.625977,36.15499878,3381.447021,804.3640137,3545.813965,2294.154785,34.88484375
"ALSEA, S.A.B. DE C.V.",ALSEA,3Q2013,2013,3,11945.327,570.655,2497.733,5111.336,305.4049988,4454.17,1108.04,581.056,229.3639984,1364.906982,4082.342041,60.8409996,4799.463867,900.9000244,3776.937012,2412.030029,34.64492308
"ALSEA, S.A.B. DE C.V.",ALSEA,4Q2013,2013,4,12459.472,641.88,2899.052,4979.304,365.4899902,4610.94,1408.565,663.27,447.7099915,1444.69104,4416.829102,72.125,4655.130859,998.1690063,4051.339111,2606.647949,39.48460317
"ALSEA, S.A.B. DE C.V.",ALSEA,1Q2014,2014,1,12345.03,577.106,3116.726,4740.009,178.0010071,4666.136,1214.621,530.784,230.2339935,1336.475952,3992.035889,85.34600067,4554.536133,998.9160156,3814.034912,2477.559082,41.68606557
"ALSEA, S.A.B. DE C.V.",ALSEA,2Q2014,2014,2,22092.574,740.175,4629.838,6219.976,306.75,8624.711,1385.352,1130.015,525.059021,1652.21106,5203.326172,175.8329926,5677.314941,1371.477051,4896.576172,3244.365234,45.69564516
"ALSEA, S.A.B. DE C.V.",ALSEA,3Q2014,2014,3,22208.921,871.732,3985.448,6824.436,349.7609863,8742.693,1390.976,499.945,558.5410156,1828.458984,5701.349121,89.84100342,6320.564941,1138.149048,5351.587891,3523.128906,45.20984615
"ALSEA, S.A.B. DE C.V.",ALSEA,4Q2014,2014,4,29048.352,1055.174,6222.398,13091.093,634.0050049,9804.299,2694.015,1112.85,735.7119751,2455.12793,7890.657227,143.0039978,9862.022461,1113.843994,7256.652344,4801.524414,41.11873016
"ALSEA, S.A.B. DE C.V.",ALSEA,1Q2015,2015,1,29412.924,1144.989,5482.549,13911.345,418.9899902,9988.143,2509.165,890.928,703.8469849,2307.282959,7344.23291,181.720993,10688.26367,1196.067017,6925.243164,4617.959961,42.76327869
"ALSEA, S.A.B. DE C.V.",ALSEA,2Q2015,2015,2,30400.917,1356.467,6284.907,14297.944,547.4000244,10401.437,2498.08,752.435,759.0280151,2452.210938,7761.942871,143.401001,10783.45313,1275.244995,7214.542969,4762.332031,46.64693548
"ALSEA, S.A.B. DE C.V.",ALSEA,3Q2015,2015,3,30817.355,1365.311,5794.42,15286.523,594.5029907,10684.641,2468.52,624.967,617.0579834,2605.602051,8224.374023,192.3289948,11640.75684,1135.557983,7629.871094,5024.269043,50.86369231
"ALSEA, S.A.B. DE C.V.",ALSEA,4Q2015,2015,4,31842.427,1377.981,6325.212,15091.741,792.9400024,11063.805,3013.091,1195.814,904.8850098,2784.179932,8957.826172,162.9380035,11498.51758,1110.30603,8164.88623,5380.706055,56.71952381
"ALSEA, S.A.B. DE C.V.",ALSEA,1Q2016,2016,1,33548.524,1398.333,6891.47,16967.401,486.3789978,11346.28,2953.608,1082.871,577.802002,2711.927002,8534.759766,174.4060059,11528.98535,1309.208008,8048.380859,5336.454102,63.3165
"ALSEA, S.A.B. DE C.V.",ALSEA,2Q2016,2016,2,34190.558,1451.13,6560.292,18346.352,642.8359985,11956.362,3134.134,1157.065,872.9110107,2828.162109,9065.568359,210.8370056,12817.13477,1385.780029,8422.732422,5594.570313,68.98984615
"ALSEA, S.A.B. DE C.V.",ALSEA,3Q2016,2016,3,35584.996,1520.452,7574.435,18685.45,743.6790161,12822.541,3482.985,1319.844,1089.159058,2989.353027,9601.984375,231.3730011,12973.83203,1585.942993,8858.305664,5868.952637,67.66584615
